Name,Count,Gender,First,Last,Peak
Dedrea,53,F,1961,1974,1965
Dedrek,5,M,1993,1993,1993
Dedria,441,F,1947,1993,1963
Dedrian,11,M,1999,2002,1999
Dedriana,5,F,2000,2000,2000
Dedrianna,6,F,2008,2008,2008
Dedric,20,F,1970,1975,1970
Dedric,1838,M,1961,2020,1977
Dedrick,16,F,1975,1985,1985
Dedrick,4358,M,1920,2020,1977
Dedrie,7,F,1962,1962,1962
Dee,15831,F,1880,2012,1961
Dee,7264,M,1880,2020,1919
Deea,6,F,1970,1970,1970
Deeana,337,F,1959,2013,1994
Deeandra,72,F,1985,2011,1987
Deeandre,5,M,2002,2002,2002
Deeann,2940,F,1937,2008,1963
Deeanna,1948,F,1938,2020,1969
Deeanne,409,F,1938,1988,1966
Deeasia,6,F,2013,2013,2013
Deeba,41,F,1990,2020,2000
Deeda,5,F,1962,1962,1962
Deeddra,6,F,1966,1966,1966
Deede,53,F,1949,1974,1962
Deedee,3478,F,1935,2011,1962
Deedgra,12,F,1976,1977,1976
Deedie,36,F,1955,1965,1958
Deedra,2165,F,1944,2010,1970
Deedre,39,F,1963,1976,1969
Deedrick,12,M,1979,1992,1992
Deedy,8,F,1958,1958,1958
Deegan,12,F,2015,2016,2016
Deegan,2972,M,1997,2020,2011
Deejay,5,F,1995,1995,1995
Deejay,150,M,1971,2020,2014
Deekan,5,M,2019,2019,2019
Deeken,10,M,2010,2016,2010
Deeksha,284,F,1998,2019,2012
Deekshitha,5,F,2012,2012,2012
Deelan,7,M,2013,2013,2013
Deelda,6,F,1916,1916,1916
Deelilah,5,F,1999,1999,1999
Deella,5,F,1965,1965,1965
Deelynn,5,F,1969,1969,1969
Deem,94,F,2012,2020,2017
Deema,527,F,1988,2020,2016
Deemah,6,F,2015,2015,2015
Deems,18,M,1946,1954,1952
Deen,5,F,1951,1951,1951
Deen,633,M,1946,2020,2018
Deena,13525,F,1910,2020,1970
Deena,5,M,1969,1969,1969
Deenah,22,F,2003,2014,2003
Deene,6,F,1964,1964,1964
Deeneen,12,F,1964,1964,1964
Deenie,17,F,1959,1968,1962
Deenna,45,F,1962,1971,1970
Deep,352,M,1988,2015,2000
Deepa,480,F,1968,2014,1981
Deepak,554,M,1965,2013,1980
Deepesh,5,M,2004,2004,2004
Deepika,254,F,1979,2017,1997
Deepshika,7,F,2012,2012,2012
Deepthi,18,F,1997,2017,2006
Deepti,155,F,1981,2017,2000
Deeqa,5,F,2001,2001,2001
Deera,5,F,2000,2000,2000
Deeric,182,M,1983,2018,1998
Deerica,151,F,1985,2007,1991
Deerick,16,M,1997,2007,1997
Deericka,49,F,1991,2003,1991
Deerika,14,F,1992,1997,1992
Deesha,22,F,1980,2005,1980
Deeshawn,13,M,1995,1998,1995
Deethya,64,F,2010,2019,2016
Deetra,183,F,1944,1992,1972
Deett,6,F,1953,1953,1953
Deetta,1177,F,1883,1991,1941
Deette,713,F,1906,1986,1962
Deetya,280,F,2007,2020,2011
Deeva,13,F,1994,2017,2017
Deevon,10,M,1989,2009,1989
Deeya,204,F,1975,2018,2004
Defne,519,F,1993,2020,2017
Defonta,6,M,1993,1993,1993
Deforest,667,M,1881,2001,1920
Deforrest,90,M,1916,1994,1917
Degan,513,M,1999,2020,2008
Degen,5,M,2009,2009,2009
Deguan,12,M,1978,1989,1989
Dehaven,77,M,1953,2020,1991
Dehja,12,F,1997,2000,2000
Dehlani,41,F,2018,2020,2020
Dehlia,197,F,1920,2019,2010
Dehlila,18,F,2008,2011,2008
Deia,60,F,1968,2019,1975
Deiadra,6,F,1966,1966,1966
Deiah,5,F,1996,1996,1996
Deian,15,M,2017,2020,2017
Deiana,13,F,1972,1993,1993
Deianeira,49,F,1995,2006,1995
Deianira,36,F,1995,2009,1995
Deianna,10,F,2006,2007,2006
Deiara,5,F,2000,2000,2000
Deiby,18,M,2007,2020,2020
Deici,35,F,1993,2007,1995
Deicy,147,F,1983,2009,2002
Deida,10,F,1969,1990,1969
Deidra,10286,F,1941,2020,1980
Deidre,14650,F,1933,2016,1963
Deidre,11,M,1969,1987,1987
Deidrea,127,F,1960,1992,1963
Deidree,23,F,1964,1968,1964
Deidri,5,F,1963,1963,1963
Deidria,18,F,1966,1977,1967
Deidrick,114,M,1972,2016,2001
Deighton,31,M,2003,2014,2014
Deigo,226,M,1987,2019,2005
Deija,475,F,1988,2017,1996
Deijah,283,F,1995,2016,1999
Deijon,16,M,1994,2005,1994
Deila,7,F,2015,2015,2015
Deilani,55,F,2014,2020,2018
Deilany,48,F,2011,2020,2017
Deily,11,F,2019,2020,2020
Deilyn,23,F,2005,2013,2010
Deimos,12,M,2015,2019,2015
Deimy,10,F,2006,2015,2006
Dein,11,M,1958,2016,2016
Deina,101,F,1964,2016,1964
Deion,123,F,1955,2014,1996
Deion,5517,M,1962,2020,1996
Deiona,82,F,1994,2008,1998
Deiondra,83,F,1991,2008,1995
Deiondre,428,M,1993,2019,1996
Deione,6,M,1995,1995,1995
Deionna,97,F,1993,2012,2008
Deionta,57,M,1994,2000,1995
Deiontae,103,M,1992,2008,1996
Deiontay,22,M,1995,2000,1995
Deionte,284,M,1991,2020,1996
Deiontre,48,M,1994,2003,1996
Deior,5,F,2020,2020,2020
Deior,5,M,2020,2020,2020
Deira,73,F,1992,2006,1998
Deirde,6,F,1963,1963,1963
Deirdra,1172,F,1944,2005,1961
Deirdre,16772,F,1921,2020,1961
Deiren,5,M,2018,2018,2018
Deirore,5,F,1964,1964,1964
Deirra,16,F,1991,2004,1997
Deise,10,F,1983,1996,1983
Deisel,11,M,2011,2013,2011
Deisha,321,F,1969,2020,1998
Deisi,574,F,1983,2018,1999
Deisree,5,F,1990,1990,1990
Deissy,80,F,1992,2012,2003
Deisy,2893,F,1972,2020,2006
Deith,6,M,1968,1968,1968
Deitra,1032,F,1944,1993,1964
Deitre,15,F,1962,1967,1962
Deitric,13,M,2003,2007,2007
Deitrich,119,M,1970,2008,1993
Deitrick,134,M,1974,2015,2014
Deiveon,5,M,2000,2000,2000
Deivi,61,M,1992,2016,2008
Deivid,26,M,2016,2020,2018
Deivin,17,M,2005,2014,2012
Deivion,7,F,1999,1999,1999
Deivion,10,M,1999,2009,1999
Deivy,36,M,2005,2016,2007
Deizel,6,M,2008,2008,2008
Deja,15917,F,1962,2020,1996
Deja,86,M,1979,2004,1995
Dejaa,5,F,1998,1998,1998
Dejae,70,F,1995,2003,1998
Dejah,3110,F,1973,2020,1999
Dejah,5,M,1998,1998,1998
Dejahn,14,M,1998,2000,1998
Dejahna,10,F,1995,1998,1995
Dejahnae,34,F,1999,2003,2000
Dejahnay,7,F,2002,2002,2002
Dejahne,6,F,1996,1996,1996
Dejahnique,5,F,1995,1995,1995
Dejai,75,F,1993,2008,1996
Dejamarie,6,F,2006,2006,2006
Dejan,13,F,1996,2001,1996
Dejan,310,M,1970,2015,2000
Dejana,172,F,1991,2009,1997
Dejanae,1067,F,1987,2020,2002
Dejanai,50,F,1992,2005,1996
Dejanay,201,F,1990,2010,1999
Dejanaye,5,F,1990,1990,1990
Dejane,161,F,1990,2005,1995
Dejanea,20,F,2000,2007,2004
Dejanee,265,F,1988,2003,1993
Dejaneira,5,F,1995,1995,1995
Dejanelle,21,F,1998,2002,1998
Dejania,5,F,1996,1996,1996
Dejanique,274,F,1990,2015,1997
Dejanira,100,F,1991,1998,1995
Dejanna,28,F,1995,2000,2000
Dejarae,16,F,1992,2001,1999
Dejarvis,10,M,1987,1988,1987
Dejaun,444,M,1968,2018,1995
Dejavion,5,M,2010,2010,2010
Dejay,129,M,1980,2019,2017
Dejean,192,M,1982,2013,1999
Dejenae,16,F,1993,1997,1997
Dejesus,22,M,1978,2002,1981
Dejha,112,F,1992,2003,1996
Dejhana,5,F,1997,1997,1997
Dejhanae,5,F,1995,1995,1995
Dejhon,18,M,1992,2001,1994
Dejia,228,F,1989,2008,1998
Dejiah,36,F,1997,2007,1999
Dejion,87,M,1993,2008,2000
Dejohn,419,M,1974,2018,1997
Dejoire,8,F,1989,1989,1989
Dejon,77,F,1970,1999,1994
Dejon,2504,M,1966,2020,1992
Dejona,18,F,1992,1996,1993
Dejonae,38,F,1988,2002,1994
Dejone,8,F,1997,1997,1997
Dejonna,7,F,1996,1996,1996
Dejonnae,6,F,1993,1993,1993
Dejontae,5,M,1999,1999,1999
Dejonte,55,M,1993,2001,1997
Dejoun,21,M,1993,2000,1993
Dejour,19,F,1997,2019,1997
Dejour,261,M,1990,2020,1997
Dejsha,11,F,1996,1997,1996
Dejuan,40,F,1971,1984,1983
Dejuan,5338,M,1955,2020,1990
Dejuana,286,F,1951,2002,1964
Dejuane,26,M,1980,2009,2009
Dejuante,12,M,1993,1997,1997
Dejun,5,M,2001,2001,2001
Dejuna,6,F,1964,1964,1964
Deka,5,F,2019,2019,2019
Dekai,21,M,2009,2020,2020
Dekan,18,M,2006,2013,2006
Dekanye,5,M,2004,2004,2004
Dekara,10,F,1990,2007,1990
Dekari,436,M,1994,2020,2020
Dekarri,14,M,2019,2020,2020
Dekayden,5,M,2016,2016,2016
Dekayla,290,F,1991,2019,2001
Deke,216,M,1949,2018,1976
Dekeisha,40,F,1973,1990,1978
Dekel,22,M,1994,2004,2004
Deken,34,M,2005,2009,2007
Dekendra,5,F,1997,1997,1997
Dekendrick,197,M,1978,2019,1994
Deker,20,M,2013,2019,2016
Dekesha,20,F,1976,1983,1976
Dekeshia,10,F,1974,1976,1974
Dekevion,22,M,2000,2008,2000
Dekevious,10,M,1992,2000,1992
Dekhari,74,M,2005,2020,2020
Dekia,10,F,1989,1999,1989
Dekin,11,M,2001,2004,2004
Deking,5,M,2013,2013,2013
Dekira,21,F,1996,2008,1996
Dekisha,70,F,1974,1983,1975
Dekita,5,F,1978,1978,1978
Dekiya,24,F,2003,2014,2009
Dekiyah,10,F,2010,2012,2010
Dekker,287,M,2006,2020,2016
Dekklan,5,M,2017,2017,2017
Deklan,1975,M,1998,2020,2018
Deklen,247,M,2008,2020,2013
Deklin,506,M,2000,2020,2015
Deklyn,143,F,2011,2020,2014
Deklyn,605,M,2001,2020,2015
Deklynn,120,F,2011,2020,2013
Deklynn,11,M,2017,2019,2019
Dekobe,12,M,2001,2020,2001
Dekoda,11,F,2002,2004,2004
Dekoda,56,M,1993,2019,1998
Dekon,21,M,2005,2009,2008
Dekorion,5,M,2008,2008,2008
Dekota,306,F,1959,2020,2006
Dekota,785,M,1986,2020,1995
Dekotah,10,F,2003,2010,2003
Dekoven,5,M,1984,1984,1984
Dekwan,34,M,1994,2004,2004
Dekwon,11,M,1997,2004,1997
Dekyla,12,F,2007,2009,2007
Dekyra,27,F,1999,2009,2005
Del,672,F,1915,1973,1956
Del,4242,M,1909,2020,1958
Dela,494,F,1888,2020,2020
Dela,5,M,1989,1989,1989
Delacey,35,F,1984,2005,1991
Delacy,20,F,1974,1990,1974
Delacy,5,M,1945,1945,1945
Delaenie,5,F,2015,2015,2015
Delahni,27,F,2018,2020,2019
Delaia,17,F,2004,2017,2017
Delaiah,26,F,2003,2019,2003
Delaila,270,F,1970,2020,2008
Delailah,148,F,2002,2020,2009
Delaili,7,F,2010,2010,2010
Delain,30,F,1955,1971,1962
Delain,5,M,1933,1933,1933
Delaina,1543,F,1952,2020,2007
Delainah,5,F,2010,2010,2010
Delaine,2360,F,1919,2020,1954
Delaine,242,M,1923,1996,1934
Delainee,129,F,2000,2020,2012
Delainey,1514,F,1990,2020,2010
Delaini,35,F,2002,2009,2003
Delainie,89,F,1994,2020,2004
Delainy,147,F,1996,2020,2006
Delajah,6,F,2010,2010,2010
Delali,29,F,2001,2019,2013
Delan,167,M,1989,2017,2000
Delana,4007,F,1914,2020,1969
Delance,106,M,1971,2016,1989
Delancey,82,F,1995,2020,2016
Delancey,28,M,1967,2010,1990
Delancy,16,F,2012,2015,2013
Delancy,5,M,1975,1975,1975
Deland,279,M,1917,2002,1954
Delanda,78,F,1964,1979,1974
Delando,147,M,1964,2008,1975
Delandra,20,F,1980,1999,1980
Delandre,5,M,1999,1999,1999
Delandria,16,F,1993,2002,1993
Delane,942,F,1917,2008,1954
Delane,923,M,1922,2010,1949
Delanea,5,F,1978,1978,1978
Delanee,371,F,1981,2020,2010
Delanei,5,F,2011,2011,2011
Delaney,38990,F,1939,2020,2004
Delaney,1156,M,1912,2020,1999
Delani,1378,F,1978,2020,2017
Delani,27,M,1999,2020,2020
Delania,233,F,1959,2016,1970
Delanie,4573,F,1916,2020,2003
Delann,11,F,1954,1956,1954
Delanna,217,F,1950,2012,1967
Delanne,5,F,1953,1953,1953
Delannie,10,F,2006,2010,2006
Delanny,54,F,2003,2017,2014
Delano,71,F,1932,1980,1933
Delano,5351,M,1914,2020,1933
Delanor,11,M,1945,1959,1945
Delanta,5,M,1991,1991,1991
Delantae,5,M,2012,2012,2012
Delante,718,M,1973,2020,1992
Delany,1070,F,1990,2020,2016
Delanya,5,F,1972,1972,1972
Delaphine,22,F,1923,1930,1925
Delara,113,F,2004,2020,2019
Delaris,6,F,1934,1934,1934
Delasha,5,F,1991,1991,1991
Delasia,54,F,2000,2020,2005
Delaun,5,M,1997,1997,1997
Delaura,10,F,1965,1982,1965
Delauren,5,F,1990,1990,1990
Delavan,5,M,1918,1918,1918
Delavina,5,F,1920,1920,1920
Delawrence,130,M,1966,2004,1980
Delaya,22,F,2005,2020,2020
Delayah,63,F,2011,2020,2019
Delayla,259,F,2003,2020,2018
Delaylah,44,F,2010,2020,2011
Delayna,819,F,1962,2020,2007
Delayne,618,F,1936,2020,2004
Delayne,56,M,1933,1971,1971
Delaynee,207,F,1999,2020,2013
Delayney,11,F,2006,2008,2006
Delayni,114,F,2002,2019,2005
Delaynie,338,F,1997,2020,2012
Delaysha,5,F,2014,2014,2014
Delaysia,51,F,1998,2019,2001
Delayza,162,F,2013,2020,2015
Delba,5,F,1954,1954,1954
Delbert,121,F,1916,1968,1925
Delbert,46843,M,1880,2020,1932
Delberta,369,F,1914,1976,1936
Delborah,5,F,1953,1953,1953
Delbra,337,F,1948,1966,1952
Delbreco,5,M,1977,1977,1977
Delcan,5,M,2010,2010,2010
Delcenia,74,F,1921,1973,1921
Delci,11,F,2001,2004,2004
Delcia,247,F,1905,1972,1928
Delcie,1284,F,1889,2020,1915
Delcina,56,F,1923,1991,1951
Delcine,34,F,1947,1956,1952
Delcy,11,F,1936,1992,1992
Deldon,5,M,1945,1945,1945
Deldra,16,F,1962,1971,1971
Deldrick,225,M,1971,2008,1979
Delea,5,F,1960,1960,1960
Deleah,176,F,1972,2020,2019
Delean,15,F,1921,1958,1921
Deleana,11,F,1973,1977,1973
Deleatrice,5,F,1966,1966,1966
Delecia,336,F,1961,2009,1983
Delee,39,F,1958,1974,1960
Deleen,17,F,1947,1964,1954
Deleena,17,F,1985,2008,1985
Deleesa,10,F,1988,1988,1988
Delema,57,F,1903,1933,1924
Delena,2130,F,1902,2020,1967
Delene,838,F,1915,1989,1960
Delenia,5,F,1965,1965,1965
Delenn,84,F,1995,2011,1998
Delenna,5,F,2002,2002,2002
Deleno,5,M,1995,1995,1995
Deleon,14,F,1986,1988,1986
Deleon,911,M,1917,2020,2002
Delephine,5,F,1952,1952,1952
Delesa,66,F,1958,1991,1963
Delesha,83,F,1979,1999,1989
Deleshia,24,F,1988,2000,1988
Delesia,83,F,1954,1994,1965
Deleta,45,F,1939,1966,1957
Deletha,104,F,1946,1982,1957
Delethia,11,F,1968,1973,1968
Deletta,5,F,1955,1955,1955
Delexis,5,F,1999,1999,1999
Delexus,12,F,1995,1996,1995
Deleyza,52,F,2013,2018,2014
Delfa,38,F,1921,1970,1930
Delfin,274,M,1919,2006,1969
Delfina,3937,F,1884,2020,1925
Delfinia,46,F,1904,1937,1930
Delfino,2311,M,1913,2020,1999
Delford,548,M,1913,1981,1925
Delfred,22,M,1964,1976,1975
Delfreda,7,F,1957,1957,1957
Delia,36591,F,1880,2020,1957
Delia,62,M,1928,1986,1986
Deliah,1148,F,1883,2020,2011
Delian,5,M,2019,2019,2019
Deliana,117,F,1995,2020,2010
Delianna,5,F,2008,2008,2008
Deliany,5,F,2008,2008,2008
Delianys,5,F,2011,2011,2011
Delica,16,F,1955,1972,1955
Delice,15,F,1950,1962,1950
Delicia,2548,F,1946,2020,1971
Delie,10,F,1907,1915,1907
Delight,1031,F,1897,2019,1946
Delijah,42,F,1999,2007,1999
Delijah,29,M,1997,2010,2000
Delila,3321,F,1880,2020,2008
Delilah,46490,F,1880,2020,2020
Delilahrose,15,F,2014,2018,2014
Delilha,6,F,2010,2010,2010
Delilia,22,F,1916,1983,1942
Deliliah,191,F,1922,2020,2010
Delima,31,F,1889,1947,1917
Delimar,23,F,2004,2013,2004
Delina,1726,F,1887,2020,2018
Delinah,43,F,1977,1978,1977
Delinda,2210,F,1917,2012,1964
Delinia,7,F,1969,1969,1969
Delino,7,M,1992,1992,1992
Delio,98,M,1915,2010,1973
Delisa,3246,F,1951,2019,1965
Delise,318,F,1951,1993,1962
Delisha,980,F,1961,2019,1989
Delishia,43,F,1971,1995,1987
Delisia,115,F,1967,2006,1991
Delissa,401,F,1953,2013,1988
Delissia,5,F,1990,1990,1990
Delita,127,F,1947,1979,1970
Delite,10,F,1958,1960,1958
Delitha,60,F,1916,1966,1921
Deliyah,273,F,1998,2020,2011
Deliylah,25,F,2011,2020,2012
Deliza,30,F,1981,2015,2015
Deljuan,28,M,1974,1999,1977
Dell,2544,F,1880,1984,1954
Dell,3981,M,1880,2020,1953
Della,68443,F,1880,2020,1917
Della,139,M,1888,1941,1924
Dellah,46,F,2009,2019,2015
Dellamae,67,F,1916,1936,1927
Dellan,11,M,2009,2020,2020
Dellana,10,F,2007,2015,2007
Dellaney,16,F,1999,2011,2011
Dellanie,5,F,2010,2010,2010
Dellanira,71,F,1973,1996,1993
Dellar,576,F,1880,1960,1900
Dellarae,18,F,2017,2019,2019
Dellareese,11,F,1959,1961,1959
Dellarose,6,F,2019,2019,2019
Dellas,95,M,1915,1948,1932
Delle,86,F,1904,1958,1915
Dellen,7,M,2005,2005,2005
Dellena,21,F,1960,1978,1978
Dellene,92,F,1936,1967,1936
Deller,23,F,1890,1922,1922
Dellia,339,F,1888,1973,1917
Dellie,634,F,1882,1963,1928
Dellie,11,M,1923,1944,1944
Dellis,75,M,1914,1950,1940
Dellon,34,M,1991,2000,2000
Dellora,54,F,1918,1924,1922
Delloyd,16,M,1934,1957,1937
Delma,8449,F,1884,2019,1926
Delma,1447,M,1905,1982,1922
Delman,229,M,1913,1969,1928
Delmar,134,F,1910,1957,1915
Delmar,14139,M,1880,2020,1931
Delmarco,10,M,1990,1999,1990
Delmarie,54,F,1934,1970,1960
Delmario,11,M,1988,1989,1988
Delmas,2257,M,1906,2003,1947
Delmer,16,F,1917,1936,1917
Delmer,7629,M,1883,2020,1924
Delmi,236,F,1983,2019,2007
Delmira,59,F,1935,1991,1959
Delmis,7,F,1994,1994,1994
Delmis,10,M,1942,1943,1942
Delmo,105,M,1916,1939,1916
Delmon,437,M,1911,1997,1917
Delmond,11,M,1940,1978,1940
Delmonica,12,F,1973,1974,1973
Delmont,535,M,1912,1979,1922
Delmonta,5,M,1998,1998,1998
Delmonte,59,M,1965,2000,1993
Delmor,5,M,1927,1927,1927
Delmore,244,M,1913,1955,1919
Delmos,66,M,1918,1948,1942
Delmus,599,M,1907,1981,1938
Delmy,598,F,1974,2020,1992
Delna,44,F,1916,1945,1940
Delno,294,M,1912,1956,1924
Deloice,5,F,1953,1953,1953
Delois,8500,F,1912,1999,1948
Delois,122,M,1915,1945,1921
Deloise,1887,F,1916,1979,1953
Deloma,66,F,1921,1958,1932
Delon,38,F,1966,1999,1972
Delon,1315,M,1932,2020,1993
Delona,267,F,1921,1998,1966
Delona,5,M,1933,1933,1933
Delonda,296,F,1959,1991,1970
Delondo,5,M,1973,1973,1973
Delone,41,F,1918,1970,1927
Delone,46,M,1930,2006,1970
Deloni,10,F,2018,2020,2018
Deloni,5,M,2014,2014,2014
Delonia,5,F,1961,1961,1961
Delonna,56,F,1953,1985,1966
Delonta,350,M,1975,2012,1989
Delontae,167,M,1985,2017,2011
Delontay,36,M,1990,2016,1990
Delonte,1487,M,1972,2020,1993
Delonzo,16,M,1987,1992,1987
Delor,10,M,1920,1926,1920
Delora,2806,F,1887,2012,1917
Deloras,908,F,1910,1965,1930
Delorce,5,F,1928,1928,1928
Delore,10,F,1917,1962,1917
Delore,31,M,1912,1928,1918
Delorean,46,F,1982,1990,1984
Delorean,280,M,1982,2020,1984
Deloren,12,M,1982,1985,1985
Delorenzo,7,M,1996,1996,1996
Delores,117729,F,1890,2020,1932
Delores,430,M,1922,1964,1930
Delorese,135,F,1926,1958,1931
Deloria,425,F,1921,1985,1951
Delorian,10,F,1988,1990,1988
Delorian,43,M,1987,2019,1990
Delorice,97,F,1928,1958,1942
Delories,1251,F,1915,1971,1941
Deloris,34674,F,1899,2016,1947
Deloris,93,M,1925,1957,1937
Delorise,1311,F,1919,1979,1948
Deloros,79,F,1928,1944,1937
Delors,12,F,1927,1935,1935
Delorse,1142,F,1918,1984,1958
Delorus,75,F,1912,1944,1917
Delos,1323,M,1880,2020,1923
Deloss,237,M,1912,1953,1918
Delouise,15,F,1928,1941,1928
Delouris,5,F,1929,1929,1929
Deloy,398,M,1916,1975,1930
Deloyce,104,F,1929,1952,1942
Deloyd,130,M,1915,1954,1935
Delpha,2025,F,1882,1979,1921
Delphene,42,F,1920,1963,1959
Delphenia,11,F,1948,1954,1954
Delphi,5,F,2019,2019,2019
Delphia,4236,F,1880,2017,1924
Delphie,37,F,1915,1938,1922
Delphin,116,M,1907,1935,1907
Delphina,861,F,1902,2020,1921
Delphine,10228,F,1880,2020,1958
Delphine,33,M,1914,1933,1929
Delphinia,23,F,1930,1966,1930
Delphis,60,M,1913,1924,1921
Delphus,17,M,1934,1940,1934
Delquan,107,M,1989,2004,1993
Delrae,136,F,1939,1997,1967
Delray,478,M,1931,2018,1960
Delrick,64,M,1957,1991,1980
Delrico,258,M,1969,2019,1979
Delrita,17,F,1959,1972,1962
Delron,70,M,1969,2009,1987
Delrose,138,F,1916,1954,1928
Delroy,1401,M,1916,2019,1992
Delsa,222,F,1917,2020,1917
Delsean,5,M,1996,1996,1996
Delsen,5,M,2002,2002,2002
Delsey,32,F,1957,1993,1957
Delsha,5,F,1979,1979,1979
Delshaun,46,M,1988,2012,1994
Delshawn,314,M,1972,2016,1994
Delshon,68,M,1972,2018,1972
Delsia,41,F,1919,1968,1919
Delsie,1428,F,1884,2020,1920
Delsin,207,M,1996,2020,2014
Delson,72,M,1978,2019,2015
Delsy,97,F,1983,2013,2006
Delta,3930,F,1883,2020,2019
Delta,97,M,1908,2018,1955
Deltha,141,F,1915,1948,1922
Deltina,6,F,1956,1956,1956
Delton,4662,M,1908,2020,1933
Deltrick,5,M,1977,1977,1977
Deluca,93,M,2016,2020,2020
Deluka,12,M,2020,2020,2020
Deluvina,17,F,1935,1941,1935
Delva,265,F,1910,1977,1952
Delvan,17,M,1928,1949,1928
Delvante,29,M,1992,1997,1992
Delvaughn,6,M,1993,1993,1993
Delvecchio,81,M,1976,1997,1977
Delver,6,M,1926,1926,1926
Delvia,25,F,1953,1972,1957
Delvin,22,F,1978,1981,1978
Delvin,5201,M,1914,2020,1978
Delvina,170,F,1898,1998,1920
Delvion,6,M,2000,2000,2000
Delvis,97,M,1967,2015,2007
Delvon,1117,M,1970,2020,1994
Delvonta,38,M,1992,1999,1992
Delvontae,11,M,1993,1994,1993
Delvonte,168,M,1990,2013,1993
Delwayne,5,M,1961,1961,1961
Delwin,1822,M,1910,2020,1935
Delwood,25,M,1919,1951,1919
Delwyn,913,M,1917,2014,1959
Dely,5,F,1986,1986,1986
Delya,5,F,1998,1998,1998
Delycia,6,F,2009,2009,2009
Delyla,580,F,1984,2020,2008
Delylah,1259,F,1999,2020,2020
Delyle,71,M,1922,1956,1937
Delyliah,5,F,2018,2018,2018
Delyn,57,F,1953,1987,1953
Delyn,11,M,2002,2006,2002
Delynda,78,F,1954,1974,1968
Delynn,719,F,1943,2011,1958
Delynn,99,M,1931,1997,1957
Delynne,35,F,1952,1969,1957
Delysa,5,F,1988,1988,1988
Delysia,6,F,2019,2019,2019
Delyssa,17,F,1991,2006,1991
Delyza,13,F,2014,2020,2020
Delzora,53,F,1916,1948,1916
Dema,827,F,1888,2019,1919
Demacio,17,M,1999,2014,2013
Demaine,6,M,1977,1977,1977
Demaj,26,M,2005,2011,2005
Demajae,6,M,2010,2010,2010
Demaje,21,M,2000,2018,2000
Demandre,5,M,1998,1998,1998
Demani,143,F,1998,2020,2013
Demani,472,M,1995,2020,2012
Demante,24,M,1993,1999,1997
Demanuel,10,M,1990,2019,1990
Demar,1243,M,1915,2020,1989
Demara,128,F,1975,2014,1999
Demarcio,11,M,1991,1998,1991
Demarco,5390,M,1955,2020,1998
Demarcos,58,M,1986,2013,1989
Demarcus,29,F,1985,1989,1986
Demarcus,13212,M,1956,2020,1991
Demare,19,M,2008,2014,2008
Demarea,219,M,1990,2015,1994
Demarean,5,M,2006,2006,2006
Demaree,11,F,1995,2004,2004
Demaree,71,M,1992,2018,2007
Demareo,39,M,1981,2014,1989
Demareon,80,M,1999,2013,2003
Demari,236,F,1998,2020,2009
Demari,2139,M,1993,2020,2017
Demaria,356,F,1993,2020,2007
Demaria,59,M,1992,2007,1992
Demariae,32,M,1987,2008,1998
Demariah,23,F,2004,2012,2009
Demarian,220,M,1990,2019,2008
Demariana,5,F,2012,2012,2012
Demarie,109,F,1967,2017,1995
Demarie,69,M,1990,2020,2003
Demariea,5,M,1993,1993,1993
Demarien,47,M,2007,2013,2008
Demarii,5,M,2019,2019,2019
Demario,17,F,1978,1988,1978
Demario,6145,M,1968,2020,1989
Demarion,3303,M,1983,2020,2005
Demariona,5,F,2010,2010,2010
Demarionna,7,F,2008,2008,2008
Demarious,376,M,1986,2019,2010
Demaris,1018,F,1914,2019,1952
Demaris,278,M,1978,2011,1987
Demarius,1933,M,1978,2020,2006
Demariya,17,F,2011,2015,2012
Demariyah,22,F,2009,2012,2011
Demariyon,17,M,2004,2011,2004
Demark,29,M,1972,1993,1977
Demarkas,6,M,1998,1998,1998
Demarkio,5,M,1990,1990,1990
Demarkis,117,M,1979,2016,1991
Demarko,680,M,1972,2020,1993
Demarkus,1192,M,1972,2020,1991
Demarlo,210,M,1973,2011,1982
Demaro,5,M,1993,1993,1993
Demarque,5,M,1993,1993,1993
Demarques,254,M,1982,2012,2007
Demarquez,138,M,1990,2012,1998
Demarquis,444,M,1973,2019,1990
Demarquise,33,M,1992,1998,1996
Demarqus,63,M,1991,2015,1991
Demarr,105,M,1981,2011,1986
Demarre,33,M,2003,2017,2009
Demarrea,11,M,1996,1997,1997
Demarreon,5,M,2003,2003,2003
Demarri,78,M,2003,2019,2018
Demarrie,8,M,2003,2003,2003
Demarrio,191,M,1976,2015,1984
Demarrion,206,M,2002,2019,2007
Demarrius,70,M,1990,2019,1996
Demartez,5,M,1998,1998,1998
Demarus,65,M,1977,2008,1988
Demaryius,82,M,2012,2018,2014
Demas,5,M,2000,2000,2000
Demaurea,5,M,1994,1994,1994
Demauri,300,M,1996,2020,2012
Demauria,11,F,2006,2014,2014
Demauria,9,M,1995,1995,1995
Demaurie,6,M,2008,2008,2008
Demaurio,5,M,1991,1991,1991
Demaurion,79,M,2003,2013,2004
Demaury,26,M,2002,2013,2006
Demaya,265,F,1995,2020,2006
Demba,75,M,2002,2020,2014
Demea,5,F,2006,2006,2006
Demea,12,M,1971,1971,1971
Demeatra,5,F,1976,1976,1976
Demeatrice,41,F,1966,1977,1977
Demeatrice,18,M,1985,1989,1989
Demeatrius,5,M,2000,2000,2000
Demeca,11,F,1979,1980,1979
